"","Date","Value"
"214",2020-07-19,9154.19
"215",2020-07-18,9131
"216",2020-07-17,9193.51
"217",2020-07-16,9254.52
"218",2020-07-15,9238.13
"219",2020-07-14,9295.9
"220",2020-07-13,9235.96
"221",2020-07-12,9287.4
"222",2020-07-11,9238.04
"223",2020-07-10,9440.07
"224",2020-07-09,9256.23
"225",2020-07-08,9348.91
"226",2020-07-07,9089.09
"227",2020-07-06,9131.31
"228",2020-07-05,9072.42
"229",2020-07-04,9087.98
"230",2020-07-03,9236.38
"231",2020-07-02,9133.97
"232",2020-07-01,9185.35
"233",2020-06-30,9127.47
"234",2020-06-29,9004.23
"235",2020-06-28,9154.45
"236",2020-06-27,9240.85
"237",2020-06-26,9276.58
"238",2020-06-25,9621.49
"239",2020-06-24,9691.9
"240",2020-06-23,9284.78
"241",2020-06-22,9357.43
"242",2020-06-21,9300.15
"243",2020-06-20,9380.03
"244",2020-06-19,9454.81
"245",2020-06-18,9526
"246",2020-06-17,9426.7
"247",2020-06-16,9330.07
"248",2020-06-15,9473.5
"249",2020-06-14,9459.97
"250",2020-06-13,9286.42
"251",2020-06-12,9892.13
"252",2020-06-11,9775.15
"253",2020-06-10,9782.59
"254",2020-06-09,9753.85
"255",2020-06-08,9670.43
"256",2020-06-07,9623.75
"257",2020-06-06,9794.56
"258",2020-06-05,9658.04
"259",2020-06-04,9525.57
"260",2020-06-03,10204.23
"261",2020-06-02,9450.84
"262",2020-06-01,9698.1
"263",2020-05-31,9425.98
"264",2020-05-30,9569.21
"265",2020-05-29,9197.54
"266",2020-05-28,8842.85
"267",2020-05-27,8899.66
"268",2020-05-26,8730.73
"269",2020-05-25,9178.32
"270",2020-05-24,9167.26
"271",2020-05-23,9057.57
"272",2020-05-22,9510.67
"273",2020-05-21,9785.74
"274",2020-05-20,9719.37
"275",2020-05-19,9669.4
"276",2020-05-18,9385.7
"277",2020-05-17,9303.59
"278",2020-05-16,9790.31
"279",2020-05-15,9305.93
"280",2020-05-14,8814.53
"281",2020-05-13,8617.25
"282",2020-05-12,8754.46
"283",2020-05-11,9527.39
"284",2020-05-10,9821.8
"285",2020-05-09,10002.48
"286",2020-05-08,9170.79
"287",2020-05-07,9030.96
"288",2020-05-06,8885.93
"289",2020-05-05,8903.95
"290",2020-05-04,8973.82
"291",2020-05-03,8824.66
"292",2020-05-02,8628.77
"293",2020-05-01,8777.63
"294",2020-04-30,7765.33
"295",2020-04-29,7790.66
"296",2020-04-28,7699.27
"297",2020-04-27,7549.52
"298",2020-04-26,7507.08
"299",2020-04-25,7477.6
"300",2020-04-24,7130.99
"301",2020-04-23,6852.52
"302",2020-04-22,6840.24
"303",2020-04-21,7130.04
"304",2020-04-20,7259.36
"305",2020-04-19,7034.89
"306",2020-04-18,7112.27
"307",2020-04-17,6623.8
"308",2020-04-16,6871.95
"309",2020-04-15,6857.66
"310",2020-04-14,6915.37
