Time,bitfinex,bitflyer,bithumb,bitstamp,btcchina,coinbase,huobi,kraken,okcoin,others
2016-02-23 00:00:00 UTC,32278.3120582301,3622.73325029,4304.2875878,10296.14227853,59035.1907000004,9529.19780312995,1580315.26829999,9595.70667114999,1367282.82399996,86568.16064667866
2016-02-24 00:00:00 UTC,22426.10899723,1472.32801817,4097.51241422,7258.35730294,45180.9843,8109.65687632998,1576727.9522,7634.18093765,1206271.60199996,73558.71982160209
2016-02-25 00:00:00 UTC,13595.76030845,1227.07980849,3034.05977789,5597.96719924,45199.0458999999,6770.74326191997,1535323.695,6760.28287589,1380829.89699997,79485.427035478
2016-02-26 00:00:00 UTC,18860.34189347,1512.3655327,2510.93582759,4635.1202274,44682.1959,7504.58359428998,866370.94569999,6364.44069796,959255.062999989,79034.11029401772
2016-02-27 00:00:00 UTC,11592.35336819,757.7931361,2311.35791851,4159.35798035,37260.7754,5969.76843249998,594680.114,4501.4685315,364988.429000036,418402.8510139071
2016-02-28 00:00:00 UTC,19852.2710985399,1167.01580398,2587.54543408,3501.18941279,67742.6378000003,5739.80163675999,1100016.94639999,4404.39987244,957785.973000069,311759.31764947844
2016-02-29 00:00:00 UTC,20389.46046158,2421.70657869,4836.22052913,8463.34883153,92161.6445000008,8490.95475212998,2348761.50029994,5531.55449028,1481830.82000005,941679.139800887
2016-03-01 00:00:00 UTC,19625.83277542,2377.83851254,3431.84022936,6941.51621427,77327.7934000003,8310.51120248996,2545200.91369995,8576.90801496,2107391.91900013,81532.02292573704
2016-03-02 00:00:00 UTC,16463.12915261,2432.54447698,3285.18137488,5788.38363163,76770.4044000004,8292.43019956998,2256757.63709995,8521.11121862,1991226.67500011,80490.71594807752
2016-03-03 00:00:00 UTC,20874.05140073,4652.86016559,4172.65595404,7483.6467555,64231.8823000001,13196.8352270799,3085064.21529991,15642.20078234,2687156.964,94417.38628790599
2016-03-04 00:00:00 UTC,21749.41985593,4847.80762902001,3221.23954832,7789.00370914,51267.7269000003,9935.53397346998,2885794.25499994,13627.10763517,2208888.83399993,93629.97881173875
2016-03-05 00:00:00 UTC,46951.8516013801,5481.61292778,4462.01135333,16436.40386167,61976.5437000003,16768.71388181,3460734.5867999,18500.33473254,2261610.11600005,102272.67745899608
2016-03-06 00:00:00 UTC,19707.20471997,3115.15469046,3930.05141863,5692.00930852,54931.6133999999,8629.53547719999,3192349.95769992,9983.11375646,2371117.939,82368.46447569603
2016-03-07 00:00:00 UTC,15306.22133026,2565.77333242,3596.79713154,5937.73379583,47823.0018,10956.18039589,2695419.05949999,11936.53468142,2518367.59400005,91511.85777465592
2016-03-08 00:00:00 UTC,10227.45551202,3033.13378076,2919.20347383,5576.2582036,38699.5323,8497.1423664,2165225.66910001,9450.00813104,1598081.05399999,86406.66804582815
2016-03-09 00:00:00 UTC,9027.75321888,2762.46932893,2615.06905948,4876.78893016,33301.7142999998,6280.50496640999,1871654.31579999,8537.12580866,1911531.06100007,80514.48051117605
2016-03-10 00:00:00 UTC,13709.08292075,2936.85820812,2583.92576187,5255.299453,32614.5635999998,11277.28052952,1887759.37790001,11885.79769199,2910240.51700012,82033.51008537122
2016-03-11 00:00:00 UTC,15464.77864266,3735.73432015,3112.53565425,5950.80704895,46010.0286000001,8556.20606730999,2939912.89099993,8281.9193025,2648905.76299995,79814.39704897464
2016-03-12 00:00:00 UTC,17020.42554463,3910.75085025,3181.58252574,4640.49424972,40637.5829000004,7676.35366851999,2809242.75769996,13156.07699624,1930807.81300002,73411.4998502869
2016-03-13 00:00:00 UTC,7628.34253444,2566.85688041,2506.36767821,3286.86910903,26294.3175999999,5145.29651075,2371332.8607,8459.99080293,1097474.781,63570.57953314971
2016-03-14 00:00:00 UTC,9210.4322585,2820.81464483,3075.1147219,4470.78743496,21604.3777999999,7537.86551339999,1722836.99499998,12042.87577303,2150646.78200021,85744.7268278887
2016-03-15 00:00:00 UTC,9632.10565438,2864.23257123,3418.53101427,4569.87994639,26148.4639999999,8198.78539149999,2453908.64089999,10726.10290823,2529990.34200003,79411.801454476
2016-03-16 00:00:00 UTC,7066.70644692,3425.75770104,2630.69128129,4100.47706379,23820.5416999998,7448.99229177999,2010953.09679999,10253.58025436,2062471.27100009,82136.63774752103
2016-03-17 00:00:00 UTC,8308.82137835,2749.87862415,2777.9761073,3704.16067257,26455.4311999997,6996.76643534999,1945419.44339999,11173.04615626,2015515.84499997,75120.9268226205
2016-03-18 00:00:00 UTC,21090.86035612,4269.64062708,3858.94479562,6391.24659493,42790.4051000001,10038.92065724,2875305.22649996,14722.3086901,2602537.42500004,90209.9842760642
2016-03-19 00:00:00 UTC,8954.99064014,3513.51577887001,2641.28168166,2870.24736036,24622.6605999995,5424.01645537,2176012.01929998,6871.87115148,1938758.40900006,73270.06755276745
2016-03-20 00:00:00 UTC,5655.4961424,2848.46529680002,2002.98459163,2579.0021276,21336.9666999998,5219.98380868,1422045.38449996,4678.21772484,1744286.63900016,72740.04275994285
2016-03-21 00:00:00 UTC,7818.38780842,2742.02740192005,2482.33066042,3546.2789106,22368.5844999998,6709.92361146999,2089670.2945,7147.03451902,3142776.71900025,73829.85916187594
2016-03-22 00:00:00 UTC,10196.10581222,3425.47732916,3154.65119795,3950.15519464,30524.6268999999,6784.48181082,2313635.46299997,7937.56577382,2391904.62000017,83094.44295661474
2016-03-23 00:00:00 UTC,7195.02123423,3513.26571479,2551.63983012,4946.39651107,24246.9989999997,6106.50572666,2258214.73440001,6599.35200272,2273829.13100009,78842.42749655385
2016-03-24 00:00:00 UTC,7559.67108636,3181.26864903,2998.01356785,2776.60883207,22753.1758999998,5743.90616273999,2335977.08279998,8806.68039791,2449629.641,72312.67066372636
2016-03-25 00:00:00 UTC,3690.24588063,2838.57106340002,2922.0265852,2588.78272326,20226.6112999999,5083.1536049,2187952.20260001,5988.97527295,2256305.23899999,78140.54809342703
